Index,Trading_Pair,Opening Time,Opening Price,Closing Price,Volume,Closing Time,No. of Trades
0,BTCUSDT,1639036800000,50016.86000000,49511.54000000,1339.34458000,1639040399999,44070
1,BTCUSDT,1639040400000,49511.54000000,49206.95000000,2016.55157000,1639043999999,60248
2,BTCUSDT,1639044000000,49206.95000000,49312.05000000,1549.04156000,1639047599999,48120
3,BTCUSDT,1639047600000,49312.05000000,49160.53000000,1010.60945000,1639051199999,33728
4,BTCUSDT,1639051200000,49160.54000000,49405.00000000,1560.77678000,1639054799999,46967
5,BTCUSDT,1639054800000,49405.00000000,49338.38000000,1095.54440000,1639058399999,35502
6,BTCUSDT,1639058400000,49338.38000000,48569.16000000,2323.47738000,1639061999999,70001
7,BTCUSDT,1639062000000,48569.16000000,48464.09000000,3470.18542000,1639065599999,85258
8,BTCUSDT,1639065600000,48462.08000000,48504.98000000,1739.97337000,1639069199999,49974
9,BTCUSDT,1639069200000,48504.97000000,48171.65000000,1218.86239000,1639072799999,41734
10,BTCUSDT,1639072800000,48171.66000000,47753.24000000,3177.29724000,1639076399999,84593
11,BTCUSDT,1639076400000,47751.87000000,47613.53000000,1598.65560000,1639079999999,46407
12,BTCUSDT,1639080000000,47615.89000000,47683.61000000,1874.89405000,1639083599999,54376
13,BTCUSDT,1639083600000,47683.61000000,47980.29000000,1698.29772000,1639087199999,45026
14,BTCUSDT,1639087200000,47975.50000000,47945.20000000,1374.78005000,1639090799999,45394
15,BTCUSDT,1639090800000,47945.20000000,47545.59000000,1110.16209000,1639094399999,34794
16,BTCUSDT,1639094400000,47535.90000000,48017.68000000,2449.42072000,1639097999999,63941
17,BTCUSDT,1639098000000,48017.68000000,48412.20000000,1594.49584000,1639101599999,42496
18,BTCUSDT,1639101600000,48412.20000000,48530.32000000,1385.84243000,1639105199999,39784
19,BTCUSDT,1639105200000,48525.57000000,48373.48000000,757.89920000,1639108799999,25661
20,BTCUSDT,1639108800000,48373.48000000,48165.71000000,1015.42380000,1639112399999,32933
21,BTCUSDT,1639112400000,48170.66000000,48246.57000000,827.39761000,1639115999999,27039
22,BTCUSDT,1639116000000,48249.78000000,47847.59000000,1296.18883000,1639119599999,42036
23,BTCUSDT,1639119600000,47847.59000000,47857.13000000,80.08170000,1639123199999,2299
